"","srid","is_geographic","has_flipped_axes","spheroid","prime_meridian","datum","projection","unit","axis_1_name","axis_1_orientation","axis_2_name","axis_2_orientation"
"729",2750,0,1,"Krassowsky 1940","Greenwich","Pulkovo_1995","Transverse_Mercator","metre","X","North","Y","East"
"730",2751,0,1,"Krassowsky 1940","Greenwich","Pulkovo_1995","Transverse_Mercator","metre","X","North","Y","East"
"731",2752,0,1,"Krassowsky 1940","Greenwich","Pulkovo_1995","Transverse_Mercator","metre","X","North","Y","East"
"732",2753,0,1,"Krassowsky 1940","Greenwich","Pulkovo_1995","Transverse_Mercator","metre","X","North","Y","East"
"733",2754,0,1,"Krassowsky 1940","Greenwich","Pulkovo_1995","Transverse_Mercator","metre","X","North","Y","East"
"734",2755,0,1,"Krassowsky 1940","Greenwich","Pulkovo_1995","Transverse_Mercator","metre","X","North","Y","East"
"735",2756,0,1,"Krassowsky 1940","Greenwich","Pulkovo_1995","Transverse_Mercator","metre","X","North","Y","East"
"736",2757,0,1,"Krassowsky 1940","Greenwich","Pulkovo_1995","Transverse_Mercator","metre","X","North","Y","East"
"737",2758,0,1,"Krassowsky 1940","Greenwich","Pulkovo_1995","Transverse_Mercator","metre","X","North","Y","East"
"738",2759,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Transverse_Mercator","metre","X","East","Y","North"
"739",2760,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Transverse_Mercator","metre","X","East","Y","North"
"740",2761,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Transverse_Mercator","metre","X","East","Y","North"
"741",2762,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Transverse_Mercator","metre","X","East","Y","North"
"742",2763,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Transverse_Mercator","metre","X","East","Y","North"
"743",2764,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Lambert_Conformal_Conic_2SP","metre","X","East","Y","North"
"744",2765,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Lambert_Conformal_Conic_2SP","metre","X","East","Y","North"
"745",2766,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Lambert_Conformal_Conic_2SP","metre","X","East","Y","North"
"746",2767,0,0,"GRS 1980","Greenwich","NAD83_High_Accuracy_Reference_Network","Lambert_Conformal_Conic_2SP","metre","X","East","Y","North"
